Year	Company	ATO	ROE	ROA	HumanC	RelationalC	InnovationC	Leverage	LogSales	ProcessC	IC
2010	Basf_India 	1.42	0.1576	0.0992	0.0858	0.145598194	0.006310641	0.55	4.986342602	0.58027561	54827.57803
2010	Bayer 	1.442458101	0.252	0.106703911	0.332283465	0.354748603	0.011874708	0.105027933	5.553734478	0.320036265	528.9299599
2010	Beiyngdab	1.276155187	0.159	0.075632084	0.737415349	0.204664342	0.03	0.008064516	6.372466183	0.269670477	1508.763277
2010	Dovchemical 	0.77912766	0.109	0.033524923	2.456751269	0.037869322	0.02410565	0.342400185	10.60982239	0.292344981	17431.04649
2010	Kaveri_Seed 	0.47184466	0.211	0.085436893	0.141304348	0.178640777	0.012315904	0.145631068	3.19047635	0.15682968	57.35389559
2010	KWSAAT	0.879636109	0.111	0.057849312	0.737415349	0.207837649	0.113715885	0.037672032	6.625657585	0.290990487	331.8
2010	Land_OLakes	2.281912328	0.172	0.036469039	0.36099	0.149763423	2.05665E-05	0.775280347	9.285447844	0.151455026	NA
2010	Monsanto 	0.546720671	0.109	0.057130676	0.737415349	0.106871314	0.06281532	0.117814254	8.948196083	0.328388598	20985.10596
2010	Monsanto_India	0.772315816	0.161	0.101332663	0.330973451	0.213100327	0.004400302	0.023761629	4.117898315	0.234559568	920.073606
2010	Origin_Agritec	0.620292683	0.197	0.052	0.737415349	0.138829268	0.040682927	0.091707317	4.152298955	0.238181818	159.6213801
2010	SakataSeed_Corp	0.472105815	0.014	0.010214772	0.523245985	0.154924044	0.043293679	0.030644316	5.887491957	0.083418733	-148.5479676
2010	SeedCo	0.692495922	0.023	0.007340946	0.255882353	0.277324633	0.02365416	0.505709625	4.441474093	0.12095843	-16.48413995
2010	Skandong_Dengaj_Seeds	0.472234763	0.247	0.105191874	0.737415349	0.111963883	0.01	0	4.650143552	0.659305994	1212.487649
2010	Syngenta 	0.680287903	0.201	0.081650027	0.851129985	0.158269484	0.063153007	0.206949926	9.081369991	0.271592244	16563.56257
2010	Vilmorin_Cie	0.52	0.0698	0.0296	0.123381951	0.133748626	0.045123	0.583865087	6.96979067	0.420168067	NA
2010	Wanxiang_Doneed	0.756466513	0.122	0.05369515	0.737415349	0.15404157	0.039	0.248267898	4.182202803	0.163291685	247.0380972
2010	Yuan_Long_Ping_Hi_Tech_Agr	0.515884477	0.077	0.029963899	0.737415349	0.096028881	0.006	0.292779783	4.962145085	0.143114311	932.4552975
2010	Zhongnongfa_seed_ig	0.897396631	0.112	0.090352221	0.737415349	0.052067381	0.006	0	4.070734697	0.196078431	175.9357661
2011	Basf_India 	2	0.1285	0.0769	0.1109	0.167930661	0.005851538	0.6	 5.2257467 	0.213476386	49492.51682
2011	Bayer 	1.438334007	0.213	0.088556409	0.322222222	0.327537404	0.008527281	0.069551152	 5.8740877 	0.3244996	304.8526646
2011	Beiyngdab	1.5	0.154	0.096491228	0.758874956	0.208290334	0.03	0.004299966	 6.7709041 	0.333159813	1202.883743
2011	Dovchemical 	0.806548732	0.124	0.036876356	2.378967581	0.037493455	0.022140773	0.312027826	 10.6719973 	0.314560219	12954.44516
2011	Kaveri_Seed 	0.652684564	0.25	0.119127517	0.104651163	0.288590604	0.009639214	0.073825503	 3.6609943 	0.198622689	59.53582994
2011	KWSAAT	0.948337029	0.143	0.077937916	0.758874956	0.220066519	0.125831486	0.037250554	 6.7515692 	0.405291303	526.08
2011	Land_OLakes	2.363060054	0.167	0.03349948	0.3738	0.14585798	2.22332E-05	0.793725404	 9.4275463 	0.1416	NA
2011	Monsanto 	0.61718467	0.149	0.083894805	0.758874956	0.114322973	0.072375571	0.111932189	 9.0500542 	0.450823193	21857.73821
2011	Monsanto_India	0.788423934	0.118	0.092947464	0.56206089	0.166992569	0.005996611	0	 4.1023127 	0.276701217	945.2067556
2011	Origin_Agritec	0.649322211	-0.087	-0.026381648	0.758874956	0.164337852	0.051199166	0.023983316	 4.1314798 	0.064223108	19.62920456
2011	SakataSeed_Corp	0.589212787	0.018	0.016476553	0.52245509	0.188142515	0.046908751	0.024081115	 6.0364379 	0.089143065	-64.19194138
2011	SeedCo	0.832006369	0.021	0.007961783	0.296482412	0.316878981	0.02866242	0.459394904	 4.6491871 	0.131067961	-24.25160099
2011	Skandong_Dengaj_Seeds	0.456908832	0.225	0.091880342	0.758874956	0.106125356	0.01	0.003917379	 4.8543713 	0.534076828	1102.290952
2011	Syngenta 	0.71626999	0.214	0.086342819	0.884160288	0.16247466	0.064269089	0.169382086	 9.1632488 	0.374636175	16652.40684
2011	Vilmorin_Cie	0.54	0.0989	0.0414	0.135889292	0.140562249	0.049002	0.578947368	 7.0833878 	0.562372188	NA
2011	Wanxiang_Doneed	0.505820534	0.217	0.072029103	0.758874956	0.114308812	0.039	0.206143897	 4.1362859 	0.151045474	343.7811099
2011	Yuan_Long_Ping_Hi_Tech_Agr	0.472647702	0.129	0.0404814	0.758874956	0.09463895	0.006	0.181619256	 5.1521349 	0.175163399	769.5321549
2011	Zhongnongfa_seed_ig	1.466386555	0.015	0.009453782	0.758874956	0.046218487	0.006	0	 4.9387812 	0.127737226	207.7118535
2012	Basf_India 	1.76	0.1	0.0506	0.114	0.166011788	0.00419421	0.002	5.313698469	0.173419906	65346.45908
2012	Bayer 	1.274705015	0.19	0.07780236	0.306493506	0.283923304	0.007986092	0.002	5.845571347	0.408108108	597.0713878
2012	Beiyngdab	1.88968894	0.179	0.119959677	0.485312118	0.23531106	0.026497696	0.003888249	7.179460397	0.31512756	1666.494972
2012	Dovchemical 	0.837569899	0.055	0.017439105	2.17180593	0.042195053	0.025191925	0.301506966	10.69616328	0.216648715	17132.89019
2012	Kaveri_Seed 	0.653979239	0.27	0.101499423	0.10212766	0.271049596	0.014387543	0.036908881	4.037774211	0.193949744	207.3491788
2012	KWSAAT	0.899170389	0.171	0.083508068	0.590983674	0.201294557	0.118328816	0.105752575	6.893960568	0.426221336	958.57
2012	Land_OLakes	2.146070221	0.217	0.037812597	0.3395	0.144860325	2.19612E-05	0.785249336	9.520908548	0.166511666	NA
2012	Monsanto 	0.643909718	0.174	0.097494249	0.590983674	0.113971274	0.07231238	0.102530622	9.245321341	0.527623542	29950.49758
2012	Monsanto_India	0.717330979	0.132	0.096367306	0.604529617	0.144803229	0.007441978	0	4.040767961	0.318264014	707.7515347
2012	Origin_Agritec	0.556420878	-0.006	-0.001408451	0.590983674	0.135045568	0.037945319	0.076222038	4.207077832	0.037735849	-0.466001789
2012	SakataSeed_Corp	0.512231884	0.027	0.020753623	0.427780852	0.209507246	0.04867299	0.021913043	6.090857291	0.08847374	-266.2462207
2012	SeedCo	0.85619956	0.033	0.012472487	0.274193548	0.31841526	0.030080704	0.405722671	4.759606539	0.16371587	22.17821243
2012	Skandong_Dengaj_Seeds	0.403464655	0.208	0.088851635	0.162790698	0.084101704	0.010338083	0.001676446	4.972587226	0.372727273	851.4086618
2012	Syngenta 	0.750135759	0.227	0.097542764	0.871334531	0.169427097	0.066386098	0.174857453	9.310276201	0.28939069	23052.99812
2012	Vilmorin_Cie	0.59	0.0833	0.0356	0.139344262	0.138912856	0.050906	0.56557377	7.198931241	0.496584826	NA
2012	Wanxiang_Doneed	0.649243028	0.203	0.081593625	0.590983674	0.132749004	0.039	0.259760956	4.400357591	0.143370556	250.3749314
2012	Yuan_Long_Ping_Hi_Tech_Agr	0.481345846	0.149	0.048294804	0.356741573	0.081483177	0.00686656	0.246509499	5.348535083	0.159351145	928.7595232
2012	Zhongnongfa_seed_ig	1.582191781	0.038	0.016894977	0.464788732	0.032420091	0.002739726	0.016438356	5.847882819	0.117149365	201.9306522
2013	Basf_India 	1.58	0.1041	0.0456	0.14430267	0.089449541	0.003683306	0.002	5.495527536	0.15143876	71172.914
2013	Bayer 	1.122731201	0.853	0.478536445	0.324968632	0.229616825	0.006542443	0.004	5.965377212	0.505775578	484.957752
2013	Beiyngdab	2.069451485	0.169	0.095508466	0.53269962	0.266653148	0.038831998	0.091757072	7.621244157	0.251838235	2689.96044
2013	Dovchemical 	0.850173045	0.2	0.071294374	2.351362039	0.045011372	0.025986354	0.258419856	10.66869955	0.410995069	22748.93794
2013	Kaveri_Seed 	0.816359262	0.437	0.146752205	0.078804348	0.29510826	0.023912752	0.003207698	4.623010104	0.227151172	248.8553721
2013	KWSAAT	0.941330926	0.151	0.072946582	0.501119331	0.213013867	0.115204726	0.117830475	7.04507947	0.442027308	1164.56
2013	Land_OLakes	2.100364174	0.256	0.045138554	0.3322	0.138195355	2.20964E-05	0.778912218	9.563529247	0.177223238	NA
2013	Monsanto 	0.72695285	0.203	0.121425373	0.027179487	0.124752095	0.074979208	0.102232743	9.338117742	0.55466386	35936.57966
2013	Monsanto_India	0.74872766	0.17	0.113977986	0.340288127	0.238253048	0.004497574	0	4.147253218	0.378827647	930.1796839
2013	Origin_Agritec	0.424303074	0.028	0.006576126	0.501119331	0.107076483	0.037169407	0.247319514	4.083620599	0.063231339	-4.290138389
2013	SakataSeed_Corp	0.665018901	0.042	0.041000291	0.431673729	0.274498401	0.046732823	0.02369875	6.125558282	0.127855795	-141.7463595
2013	SeedCo	0.839264531	0.157	0.053973903	0.253283302	0.316132859	0.027283511	0.457888493	4.952299717	0.179857153	62.47336066
2013	Skandong_Dengaj_Seeds	0.439047619	0.224	0.098571429	0.1898017	0.084047619	0.009761905	0.001190476	5.217107311	0.483333333	1278.346708
2013	Syngenta 	0.752107696	0.18	0.084171879	0.847885009	0.156717433	0.070437857	0.158553168	9.311271091	0.231006386	21334.29254
2013	Vilmorin_Cie	0.61	0.0978	0.0413	0.145060241	0.140562249	0.05502	0.591967871	7.294377299	0.487364621	NA
2013	Wanxiang_Doneed	0.41543514	-0.091	-0.035632184	0.501119331	0.117651888	0.039	0.316091954	3.923951576	-0.024838883	187.889735
2013	Yuan_Long_Ping_Hi_Tech_Agr	0.501302649	0.133	0.049500651	0.357575758	0.07164568	0.004125054	0.292010421	5.441984716	0.196419932	1215.216493
2013	Zhongnongfa_seed_ig	1.45514326	0.041	0.024424612	0.403225806	0.058243307	0.006106153	0.06669798	5.735926928	0.183510638	247.0902806
2014	Basf_India 	1.3	0.1069	0.0374	0.081771763	0.235920541	0.002602617	0	6.308462674	0.115074987	64055.79114
2014	Bayer 	1.392523364	0.158	0.124264451	0.307785888	0.284527518	0.00846286	0	5.997198079	0.527060783	1317.839124
2014	Beiyngdab	1.606245998	0.146	0.069289322	0.526020567	0.22828484	0.031229992	0.18759337	7.722190457	0.245634687	2316.940665
2014	Dovchemical 	0.771285388	0.153	0.050008792	2.291246798	0.041181642	0.021839283	0.287568138	10.68882642	0.343950749	29014.8689
2014	Kaveri_Seed 	1.007228916	0.486	0.208032129	0.068093385	0.412851406	0.034819806	0.000803213	4.831508628	0.352832796	634.7715913
2014	KWSAAT	1.011158798	0.124	0.066180258	0.492248046	0.240944206	0.127725322	0.132103004	7.071573364	0.441670667	1205.08
2014	Land_OLakes	2.140394757	0.18	0.03811459	0.338610451	0.144728889	1.93357E-05	0.793079376	9.613536241	0.164775377	NA
2014	Monsanto 	0.696158671	0.267	0.120317821	0.029426189	0.121811339	0.07575124	0.353067686	9.363318937	0.549141606	42946.47657
2014	Monsanto_India	0.975128413	0.327	0.206001622	0.401524033	0.230602866	0.0081103	0	4.278608675	0.613116026	2045.824115
2014	Origin_Agritec	0.362227074	-0.036	-0.008296943	0.492248046	0.091994178	0.035225619	0.272197962	3.907412393	-0.000287212	3.231317929
2014	SakataSeed_Corp	0.570071942	0.034	0.028345324	0.43995098	0.234820144	0.046051403	0.037122302	5.981919134	0.115049505	89.64423637
2014	SeedCo	0.885377943	0.061	0.021065675	0.233606557	0.302354399	0.026022305	0.417596035	4.962145085	0.177705132	31.30239298
2014	Skandong_Dengaj_Seeds	0.344355758	0.208	0.088559483	0.214477212	0.070885595	0.009122007	0	5.199601394	0.473809524	1243.667827
